ID,Name,Formula,Ion Species,Mass (DB),CAS,CCS (DB),RT,SD,DT,SD,CCS,SD,m/z,SD,Abundance,RSD,Z,Ions,Freq.,Q Score,Sat.,Mark,NEG Media Blank01 DI2.d.HRdm, NEG Media Blank02 DI2.d.HRdm, NEG Media Blank03 DI2.d.HRdm, NEG QCdilution 0 0625 DI2.d.HRdm, NEG QCdilution 0 125 DI2.d.HRdm, NEG QCdilution 0 25 DI2.d.HRdm, NEG QCdilution 0 5 DI2.d.HRdm, NEG QCdilution 1 0 DI2.d.HRdm, NEG S1P DI2.d.HRdm, NEG S1S DI2.d.HRdm, NEG S2P DI2.d.HRdm, NEG S2S DI2.d.HRdm, NEG S3P DI2.d.HRdm, NEG S3S DI2.d.HRdm, NEG W1P DI2.d.HRdm, NEG W1S DI2.d.HRdm, NEG W2P DI2.d.HRdm, NEG W2S DI2.d.HRdm, NEG W3P DI2.d.HRdm, NEG W3S DI2.d.HRdm
73,,,,,,,2.233,0.003,33.103,0.03,185.72,0.17,403.1825,0.0003,0.0245032,0.3,-1,3,20,100,,FALSE,3945333,4018004,3863759,399652.8,795166.9,1529927,2494693,3870251,2795935,3829539,3279166,4695527,2830683,4054081,1558240,4938988,1941417,3880198,2595313,4537324
74,,,,,,,1.623,0.002,53.303,0.055,294.36,0.31,964.5113,0.0008,0.0237741,0.46,-1,5,20,100,,FALSE,4305947,4520419,4532882,102328.7,317222.2,623095.8,2140586,4769504,2621462,4597759,3559025,3722202,2701825,4943954,972306.1,3919993,1529855,4674671,2323253,4867462
75,,,,,,,0.895,0.016,33.613,0.022,189.02,0.13,378.2151,0.0003,0.0235872,0.53,-1,5,19,100,,FALSE,2950825,3248049,3182742,0.001,685245.7,1811421,4068498,4309181,2947176,2798028,3312027,1493086,5469473,2542405,1942809,1772265,3896888,2472176,5139646,2056239
76,,,,,,,3.148,0.013,23.511,0.028,137.38,0.16,166.0543,0.0003,0.0226392,0.74,-1,3,17,84.9,,FALSE,3336282,1799404,3422463,2312396,4436752,4455365,1069089,1246583,3166915,3254390,3465769,3373361,3824018,0.001,2012531,1273863,0.001,0.001,4233571,3237020
77,5-Methylcytidine,C10 H15 N3 O5,(M-H)-,257.1012,2140-61-6,159.9,2.074,0.002,28.109,0.031,160.36,0.18,256.0933,0.0004,0.0221733,0.35,-1,4,20,100,x,FALSE,3358007,3406548,3589948,254486.2,644393.5,1096596,2304100,3847371,2320773,3395489,2964773,4824538,2749044,3396153,1373487,4867211,1554794,3870189,2236199,4513049
78,,,,,,,2.477,0.001,36.217,0.034,202.78,0.19,441.2335,0.0004,0.0215122,0.28,-1,4,20,100,,FALSE,3278695,3323713,3279175,336618.7,765022.3,1368131,2154804,3298594,2593869,3474855,2935830,3883495,2649224,3608362,1446358,4084323,1854425,3444913,2280410,4010462
79,3-Furoic acid,C5 H4 O3,(M-H)-,112.016,488-93-7,,2.568,0.009,21.98,0.012,132.82,0.08,111.0087,0.0002,0.0211242,0.71,-1,2,18,95.3,,FALSE,1589545,1697854,1902187,0.001,2245082,2013029,2455602,2242536,6006372,3056786,2943465,3187683,2639768,1374065,5527697,2471736,0.001,2651908,3227716,1713788
80,"2,4.6-Trichloroanisole",C7 H5 Cl3 O,(M-H)-,209.9406,87-40-1,,3.037,0.014,22.037,0.017,126.73,0.1,208.9347,0.0001,0.0206791,0.7,-1,5,19,100,,FALSE,2132821,2372846,2005558,3570604,4236773,4080985,3250951,2579468,1607841,1329295,1641949,0.001,2343696,1893641,1904986,1296067,2353156,1418632,2382753,1715152
81,1-Pyrroline-4-hydroxy-2-carboxylate,C5 H7 N O3,(2M-H)-,129.0426,,,2.681,0.002,27.789,0.029,158.48,0.17,257.0773,0.0002,0.0204624,1.04,-1,3,12,100,x,FALSE,7911732,7876524,0.001,1436822,2267360,3675536,5258696,0.001,2232551,0.001,3103558,0.001,2385387,0.001,0.001,0.001,1962374,6710167,2285628,0.001
82,Iprobenfos,C13 H21 O3 P S,(M-H)-,288.0949,26087-47-8,,2.504,0.002,29.47,0.047,167.31,0.27,287.0857,0.0008,0.0202912,0.54,-1,4,17,100,,FALSE,3678444,3608766,3744916,0.001,591538,1270809,2118992,3471136,2471513,3644062,3360233,4540995,0.001,4095502,1211749,4758937,1649967,3609192,0.001,4664458
83,D-(+)-Trehalose,C12 H22 O11,(M-H)-,342.1162,6138-23-4,169.9,2.484,0.001,30.224,0.041,170.42,0.23,341.1078,0.0003,0.0199681,0.35,-1,3,20,100,,FALSE,3909439,3560749,3748110,453528.4,866517.6,1574059,2516493,3566789,1287922,3274079,2137999,3178941,1869435,3895682,773960.8,3633178,1483921,2947799,1900923,3782749
84,,,,,,,0.523,0.002,27.216,0.02,154.58,0.11,279.0387,0.0003,0.0196804,1.63,-1,5,12,100,x,FALSE,1.17E+07,1.26E+07,1.26E+07,0.001,1043549,1837323,3333565,5387888,240405.3,0.001,427227.8,0.001,496071.5,803529.4,0.001,0.001,0.001,0.001,286867.8,0.001
85,Allopurinol,C5 H4 N4 O,(M-H)-,136.0385,315-30-0,,0.62,0.001,20.503,0.029,121.54,0.17,135.0313,0.0001,0.0195445,0.73,-1,3,14,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,2070397,3334400,2859069,4347665,3749782,5069547,3326288,3958039,1491427,5661906,2180850,4204874,2687824,5451896
86,,,,,,,2.479,0.002,34.81,0.037,194.6,0.21,460.1661,0.0007,0.0194977,0.39,-1,3,19,100,,FALSE,3290095,3166885,3106797,0.001,408915.6,1247193,2781506,3858087,1717070,3499399,2592602,3222290,2377804,3711225,629875.8,3501613,1571707,3323561,2142649,3509926
87,,,,,,,2.944,0.018,23.586,0.028,137.42,0.17,172.9579,0.0001,0.0192869,0.4,-1,3,19,99.6,,FALSE,2439706,2361324,2614465,0.001,1945075,2765086,3118827,2816985,1867041,2000865,2236395,1822419,2631115,2405849,2005749,2166542,2818898,2104356,2324722,2320405
88,Ribothymidine,C10 H14 N2 O6,(M-H)-,258.0852,1463-10-1,,2.68,0.002,27.783,0.021,158.45,0.12,257.0777,0.0007,0.0192016,1.32,-1,3,8,100,x,FALSE,0.001,0.001,7812031,0.001,0.001,0.001,0.001,6034693,0.001,7032949,0.001,6734771,0.001,7672685,1503107,8326411,0.001,0.001,0.001,8318820
89,,,,,,,2.124,0.002,35.938,0.035,201.2,0.2,442.2291,0.0003,0.0191643,0.27,-1,3,20,100,,FALSE,2657587,2776629,2940946,338761.3,666001.3,1228174,2010356,2864546,2454163,2942086,2683699,3416416,2279621,3179987,1475528,3710194,1673628,3059268,2104382,3514016
90,Methyl propyl trisulfide,C4 H10 S3,(M-H)-,153.9945,17619-36-2,,2.502,0.002,20.422,0.024,119.82,0.15,152.9863,0.0002,0.0187852,0.63,-1,2,19,100,,FALSE,1504697,1654018,1476341,3134202,3584635,3270474,2797088,2119710,2146459,1558313,1863134,1353198,2396128,0.001,2155939,1591802,2297516,1784380,2277267,1367295
91,Alanyl-Isoleucine,C9 H18 N2 O3,(M-H)-,202.1317,,,1.597,0.005,26.012,0.089,150.25,0.52,201.1244,0.0002,0.0187477,0.66,-1,3,18,100,,FALSE,4776713,5055297,4967356,0.001,418136.1,963680.7,1109715,3933093,1480319,2683699,1173109,4791845,1862774,4803859,511273,3679236,1082994,3183512,0.001,3111428
92,,,,,,,2.792,0.029,45.953,0.19,253.49,1.06,980.0123,0.001,0.0184913,3.85,-1,2,4,100,,FALSE,0.001,0.001,0.001,2.89E+07,0.001,0.001,0.001,0.001,0.001,0.001,2380152,3341765,499763.1,0.001,0.001,0.001,0.001,0.001,0.001,0.001
93,Pyruvophenone,C9 H8 O2,(M-H)-,148.0524,579-07-7,,1.618,0.017,23.924,0.025,141.12,0.15,147.0452,0.0002,0.018444,0.42,-1,2,19,100,,FALSE,3289498,3178446,3174416,0.001,293968.2,673717.4,1357788,2665220,2167595,3149202,2516454,4051059,2082650,3370832,1091372,3988253,1551845,3085714,1801346,4144771
94,,,,,,,3.49,,46.426,,255.93,,1033.986,,0.017987,4.47,-1,3,1,82.4,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,4.96E+07,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
95,,,,,,,0.402,0.048,18.565,0.074,111.33,0.45,116.9279,0.0004,0.0179169,1.08,-1,3,14,80.7,x,FALSE,0.001,0.001,0.001,914497.3,2642421,834746.5,0.001,0.001,9973136,3739152,5255489,2643097,2349929,1658547,4082845,1495383,2020089,0.001,1742586,1441287
96,Asparaginyl-Isoleucine,C10 H19 N3 O4,(M-H)-,245.1376,,,1.931,0.002,27.963,0.025,159.9,0.15,244.1301,0.0002,0.0177674,0.51,-1,3,19,89.3,,FALSE,3483676,3604950,3071000,0.001,418515.6,850616.9,1486114,2543364,1388456,3201403,2349783,4379831,1441990,3530758,532832.6,4323857,1058902,3246075,1197600,4354633
97,,,,,,,0.256,0.001,33.865,0.042,190.16,0.24,395.2424,0.0003,0.0176099,1.34,-1,3,20,100,x,FALSE,4154656,4403597,4314384,515680.8,675125.7,1395815,1303348,1036548,472629.2,928744.6,437921.3,402949,582130.3,851268.2,6990345,590925.5,7110494,617501.7,682583.2,481477.3
98,,,,,,,2.518,0.002,33.778,0.029,189.38,0.16,414.198,0.0004,0.01757,0.27,-1,4,20,100,,FALSE,2832983,2829964,2641374,295520.9,622242.8,1247504,2064478,2788417,1994796,2647384,2511267,2666679,2231919,2844833,1327657,3106196,1700651,2431001,1872314,3028404
99,DL-Methionine sulfoxide,C5 H11 N O3 S,(M-H)-,165.046,62697-73-8,,2.568,0.009,29.08,0.025,170.48,0.15,164.0384,0.0002,0.0174433,0.56,-1,2,18,100,,FALSE,1775854,1754652,1866837,0.001,1590873,2851124,3247605,2637522,2157916,2205802,2458038,1530468,0.001,2030481,2299594,1851170,2726632,1982504,2944662,1711388
100,,,,,,,2.132,0.002,27.884,0.102,161.24,0.6,200.0565,0.0002,0.0172375,0.53,-1,2,18,100,,FALSE,3876025,2666465,4016628,0.001,0.001,646594.5,1057229,2231587,2485778,3794842,1465980,2854932,1439847,4125413,1392224,3075859,980651.9,2249972,1771169,4868982
101,,,,,,,1.668,0.007,30.107,0.04,170.94,0.23,288.1561,0.0002,0.017211,0.61,-1,3,18,100,,FALSE,3068233,3711136,3726033,164752.9,433269.9,0.001,1936276,3280615,1478331,3446688,2632037,3786036,2039071,3338444,626492.9,4743665,965214.8,0.001,1231683,4716688
102,Botrydial,C17 H26 O5,(M-H)-,310.178,,,0.212,0.001,30.997,0.034,175.51,0.19,309.173,0.0003,0.016484,0.77,-1,4,20,100,x,FALSE,507858,536282.8,573062,356543.8,514060.2,1085759,1355427,3425802,3267871,3677750,2230232,1862494,3286787,1167015,2869624,1462937,1841376,998305.6,5370424,1926136
103,"(2S,4S)-Monatin",C14 H16 N2 O5,(M-H)-,292.1059,146142-94-1,,1.545,0.003,29.464,0.064,167.17,0.37,291.0983,0.0002,0.0162366,0.41,-1,3,19,100,,FALSE,2673964,2728296,2811182,0.001,807668.3,1394953,2096591,2749761,1404498,2950863,1830115,3597150,1739821,2618489,761099.6,3722846,1130298,710808.6,1626017,3571992
104,,,,,,,1.69,0.002,29.654,0.026,168.58,0.15,279.0595,0.0003,0.0162362,0.3,-1,3,20,100,,FALSE,2320973,2167162,2192049,292550.5,779978.6,1415487,1933993,2296229,2026389,2127525,2531124,2014019,2272072,2261470,2086153,2044768,2112389,1840166,1938453,2176665
105,Ardisianone,C24 H38 O5,(M-H)-,406.2719,66398-68-3,,0.226,0.001,35.954,0.037,201.83,0.21,405.2657,0.0003,0.0158866,0.47,-1,4,20,100,,FALSE,1607096,1621440,1653492,1953727,2783214,2240446,2145845,2063090,1475648,1777091,1496241,937432.1,2130999,1413315,1596405,961672.8,1835053,2013867,2205859,1315454
106,,,,,,,2.56,0.002,32.105,0.034,180.77,0.19,360.1767,0.0005,0.0156796,0.39,-1,4,19,100,,FALSE,2473588,2481358,2604934,0.001,433332.1,843136.1,1485726,2599382,1602054,2494915,1966544,3217682,1706371,2979455,909990.3,3617221,1102048,2793217,1483405,3455318
107,9-Hydroxyrisperidone,C23 H27 F N4 O3,(M-H)-,426.2067,144598-75-4,,1.573,0.006,34.956,0.037,195.88,0.21,425.2031,0.0003,0.0154759,0.55,-1,3,19,100,,FALSE,2630157,2638896,2915481,0.001,281700.3,587454.8,1104564,2497092,1297161,2722429,1916107,4129302,1289945,2996595,529974,4395201,733659.7,2732540,1157097,4307638
108,N-alpha-Acetyllysine,C8 H16 N2 O3,(M-H)-,188.1161,1946-82-3,,1.534,0.049,25.307,0.119,146.8,0.7,187.1089,0.0001,0.0153494,0.71,-1,3,16,93.1,,FALSE,3517581,4496622,2940363,0.001,0.001,812214.3,1144876,2319607,0.001,2617227,1973060,4412786,1634369,4584422,0.001,3832866,994063.4,1644092,827991.5,2691165
109,Maculosin,C14 H16 N2 O3,(M-H)-,260.1161,04/02/4549,,0.313,0.002,29.059,0.038,165.74,0.22,259.1084,0.0002,0.0151626,0.43,-1,3,20,100,,FALSE,2817399,2971846,2785701,144446.8,314894.3,644449.3,1349371,2582150,1253487,2663391,1994076,2578935,1507533,3210744,740435.8,3376339,1080182,2440602,1272214,3464241
110,Isocitrate,C6 H8 O7,(M-H)-,192.027,1637-73-5,127.3,2.687,0.005,22.046,0.024,127.48,0.14,191.0196,0.0002,0.0150997,1.12,-1,3,18,97.4,x,FALSE,1693597,1958052,1974413,0.001,5123822,4234333,2755537,1543065,0.001,2208213,717796.6,1065938,385315.8,1414106,861681.3,1469393,554707.9,2787716,608249.9,1190630
111,3-Furoic acid,C5 H4 O3,(M-H)-,112.016,488-93-7,,2.68,0.028,21.971,0.018,132.77,0.11,111.0088,0.0002,0.0149148,1.27,-1,3,18,99.6,,FALSE,1166988,1223763,1086434,6881251,3161730,2446727,1751294,1035286,582828.5,1415571,457094.2,957305.2,0.001,900895.2,721427.7,0.001,4067665,1154375,430810.3,717992.3
112,,,,,,,1.252,0.004,30.223,0.029,170.42,0.16,341.0437,0.0005,0.014636,0.6,-1,4,20,100,,FALSE,1488080,1519619,1478378,31925.89,249349.6,523360.8,982416.2,1513868,2437162,3167769,2610692,5171635,1755011,1823755,749215,2975323,1026415,4191474,1590903,2462689
113,,,,,,,1.522,0.004,30.807,0.043,174.69,0.25,298.1404,0.0002,0.0146223,0.44,-1,3,20,100,,FALSE,2096278,2237977,2381555,86685.02,594383.8,1009483,1919139,2940582,1089222,2504197,1436606,3066138,1602235,2051594,358247,3897709,663843.8,2887386,1482949,3403568
114,"Adenosine-2',3'-Cyclic Phosphate",C10 H12 N5 O6 P,(M-H)-,329.0525,37063-35-7,169.4,1.438,0.007,30.044,0.034,169.65,0.2,328.0448,0.0002,0.01457,0.38,-1,3,19,100,,FALSE,2271120,2369582,2345853,0.001,422982,781780.4,1523595,2497568,1422749,2523379,1868418,2962863,1842291,2444847,701419.5,3172531,1017899,2435978,1677560,2985097
115,,,,,,,1.114,0.003,34.009,0.085,191.71,0.48,354.2024,0.0003,0.0145108,0.55,-1,3,19,100,,FALSE,1967513,1835685,2188376,0.001,677726.2,1026941,1766314,3168121,814537.2,2231995,1362833,3261998,1445497,1770357,218738.3,4295406,448915.2,3624113,1460090,4213912
116,DL-Methionine sulfoxide,C5 H11 N O3 S,(M-H)-,165.046,62697-73-8,,2.569,0.01,22.846,0.027,133.55,0.16,164.0385,0.0002,0.0145095,0.88,-1,3,12,100,,FALSE,0.001,3231241,3248886,0.001,922336.1,0.001,2680906,0.001,3426339,0.001,0.001,3238990,3536583,3487109,2506885,3695990,2967904,3066110,0.001,0.001
117,,,,,,,3.094,0.009,39.346,0.036,219.1,0.2,555.1516,0.0004,0.0143664,0.57,-1,5,20,94.9,,FALSE,1061829,1138845,999170.6,2033094,1951350,2269859,1447381,1105279,2207347,1343597,1544171,1172265,1642525,930905.9,2416209,864239.8,2297790,1507844,2115335,940302.9
118,Allopurinol,C5 H4 N4 O,(M-H)-,136.0385,315-30-0,,0.62,0.001,19.866,0.026,117.7,0.16,135.0313,0.0001,0.0143573,0.82,-1,2,13,100,,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,1811285,2665277,2107310,3429936,3025564,4308692,2637852,3221461,1145158,0.001,1661149,3716146,2184252,4388407
119,Lasiocarpine,C21 H33 N O7,(M-H)-,411.2257,303-34-4,,0.234,0.001,39.889,0.042,224.02,0.24,410.2197,0.0003,0.0143281,0.84,-1,5,13,100,,FALSE,3426775,3295076,3221915,0.001,689827.7,1202094,1978558,3114430,0.001,3252730,0.001,1773839,0.001,4480736,0.001,4607927,0.001,3071485,0.001,4325211
120,,,,,,,2.318,0.098,21.519,0.044,125.22,0.26,172.9583,0.0002,0.0143269,0.86,-1,3,14,84.8,,FALSE,2263824,4596504,2118733,0.001,1616964,607807.8,3395015,2672688,1497870,1385674,4185162,0.001,2193725,0.001,0.001,0.001,2608101,0.001,2622882,1987037
121,,,,,,,1.562,0.003,35.045,0.032,196.33,0.18,429.2344,0.0004,0.014128,0.45,-1,3,19,100,,FALSE,2218380,2217181,2504312,0.001,213208,617832.1,1155978,2280881,1472869,2392566,1949821,3413556,1599073,2408716,680845.4,3521569,986915.3,2241227,1409030,3337694
122,Clitocine,C9 H13 N5 O6,(M-H)-,287.0866,105798-74-1,,2.92,0.008,31.762,0.035,180.48,0.2,286.0782,0.0004,0.0140613,0.72,-1,4,17,86.2,,FALSE,1295223,966428.6,1221054,1903842,2786898,2154266,2747748,0.001,1836794,1465450,1344150,1601473,2580697,1769132,2555663,933410.3,0.001,1742202,1610283,0.001
123,2-(Hydroxymethyl)-3-(acetamidomethylene)succinate,C8 H11 N O6,(M-H)-,217.0586,,,2.489,0.003,25.063,0.037,144.09,0.22,216.0509,0.0002,0.0140426,0.44,-1,2,18,100,,FALSE,2237054,2376234,2571142,0.001,0.001,703295.8,1240392,2393445,1449575,2381281,2026851,2997800,1608751,2546348,728804.1,3267112,1084594,2286240,1278035,3163755
124,Valclavam,C14 H23 N3 O6,(M-H)-,329.1587,98359-78-5,,1.564,0.005,31.878,0.075,180.11,0.43,328.1509,0.0003,0.013711,0.64,-1,3,17,100,,FALSE,3148125,2447903,2913081,0.001,754037.1,1251536,2038610,3579017,576001.2,0.001,552982.7,3185982,1768447,2716374,254719.5,3642996,0.001,2355249,1664025,2385576
125,Alanyl-Isoleucine,C9 H18 N2 O3,(M-H)-,202.1317,,,1.357,0.004,26.225,0.089,151.5,0.52,201.1243,0.0001,0.0136178,0.68,-1,3,17,100,,FALSE,3036327,3316222,1962476,0.001,464500.1,1052484,1555481,3074668,595237.3,2748690,0.001,3867507,1010012,3654561,0.001,2434179,596472.7,3146891,581948.6,2792985
126,Aspartyl-Proline,C9 H14 N2 O5,(M-H)-,230.0903,,,1.7,0.002,26.539,0.027,152.18,0.16,229.0827,0.0002,0.0135416,0.42,-1,3,19,100,,FALSE,2072479,2129071,2308223,92781.55,0.001,791649.4,1521305,2326499,1348311,2278092,1782033,2806138,1536245,2294315,701120.2,3178012,974853.4,2421999,1303153,3044240
127,"N6-Acetyl-LL-2,6-diaminoheptanedioate",C9 H16 N2 O5,(M-H)-,232.1059,,,2.676,0.002,26.635,0.025,152.67,0.14,231.0978,0.0003,0.0132735,0.73,-1,3,15,100,,FALSE,3229728,3349156,3441635,0.001,0.001,1093511,1927612,2352498,0.001,2787074,875996.3,2728536,525888.6,3196509,0.001,3265359,0.001,2582705,625068.2,3405727
128,,,,,,,1.824,0.002,45.108,0.058,250.2,0.32,696.3916,0.0005,0.0130549,0.37,-1,4,20,100,,FALSE,2086999,2110422,2066135,111267.6,340855.8,661825.8,1153476,2147104,1324287,2210268,1782581,2708722,1488492,2291048,746322.4,2805261,946922.2,2284921,1309391,2833015
129,,,,,,,2.865,0.012,41.657,0.029,231.72,0.16,591.2793,0.0005,0.0126661,0.47,-1,4,18,100,,FALSE,2078553,2066796,2013407,1112051,0.001,0.001,658341.4,1294185,1789701,1986131,2039970,2062597,1230782,2499154,2084794,1953100,1588200,1476358,1156122,2332234
130,2-Dodecylbenzenesulfonic acid,C18 H30 O3 S,(M-H)-,326.1916,,,0.221,0.001,32.487,0.062,183.65,0.35,325.1831,0.0003,0.012654,0.92,-1,4,20,100,,FALSE,546114.4,467568.2,592426.6,418865.2,334329.9,959817.9,986080.6,1614708,6194649,3283341,4457645,2181447,1797433,923568.1,1391577,560015.3,842236,611228.2,1293692,1001131
131,AMPA,C7 H10 N2 O4,(M-H)-,186.0641,77521-29-0,,1.907,0.002,25.747,0.03,149.49,0.18,185.0566,0.0002,0.0125301,0.41,-1,3,18,100,,FALSE,1942164,2043996,2051375,0.001,0.001,740880.3,1279984,2144108,1346277,2040841,1761080,2529663,1518225,2114676,744093.1,2757615,1002386,2131037,1358479,2600532
132,Methionyl-Serine,C8 H16 N2 O4 S,(M-H)-,236.0831,,,2.329,0.002,26.934,0.03,154.26,0.17,235.0753,0.0002,0.0125192,0.5,-1,3,18,100,,FALSE,2392115,2432629,2633224,0.001,0.001,579124.4,1179341,2175092,1215203,2146758,1572628,2867792,1079426,2319478,420680.6,2960669,878856.6,2109287,1035285,2773034
133,N-Undecylbenzenesulfonic acid,C17 H28 O3 S,(M-H)-,312.1759,50854-94-9,,0.222,0.001,33.769,0.062,191.3,0.35,311.168,0.0004,0.0124994,0.94,-1,4,20,100,,FALSE,491465.2,656285.4,565857.3,616167.6,647756.1,799788.1,823095.3,1588793,6246590,3680997,4566447,1740293,1591471,896603.3,1250521,445493.8,774305.9,681830.9,1175113,762621.9
134,,,,,,,0.191,0.001,46.32,0.09,257.19,0.5,666.0558,0.0005,0.0123138,2.36,-1,5,7,100,x,FALSE,0.001,0.001,0.001,0.001,0.001,0.001,0.001,3737209,2138261,1.76E+07,2555330,310407.4,0.001,0.001,0.001,0.001,2808409,0.001,2072904,0.001
135,,,,,,,0.939,0.147,30.301,0.03,171.2,0.17,324.0519,0.0003,0.0122335,0.93,-1,4,14,100,,FALSE,0.001,513431.5,470944.3,0.001,2240438,1937122,2205706,2265398,2109513,0.001,0.001,2931491,0.001,2874960,1342724,0.001,158242.9,4763410,1558745,3499786
136,trans-Zeatin,C10 H13 N5 O,(M-H)-,219.112,1637-39-4,,1.591,0.003,25.522,0.039,146.68,0.23,218.1046,0.0006,0.0121974,1.29,-1,3,9,99.4,,FALSE,0.001,0.001,0.001,183522.8,0.001,1423433,2669610,0.001,4665677,0.001,0.001,0.001,4163003,0.001,2051516,0.001,2781275,5384864,4187825,0.001
137,,,,,,,3.278,0.068,21.52,0.024,123.45,0.14,216.8541,0.0002,0.0121275,1.38,-1,3,10,93.7,,FALSE,0.001,1840038,0.001,2011642,0.001,0.001,0.001,1003263,0.001,3972755,5795802,3192984,4948356,1813629,0.001,0.001,0.001,5394062,0.001,277785.3
138,,,,,,,1.691,0.002,24.032,0.027,138.32,0.16,209.9499,0.0003,0.0120685,0.51,-1,3,18,100,,FALSE,1317840,1356734,1201720,0.001,0.001,558220.3,839060.1,1108821,2206729,2319258,2386502,3044320,1477767,1450426,1524150,1985418,1398081,2559194,1625996,1641674
139,PG(16:0/18:1(9Z)),C40 H77 O10 P,(M-H)-,748.5254,81490-05-3,,0.384,0.002,49.458,0.042,274.12,0.23,747.5136,0.0008,0.0120107,1.46,-1,4,10,100,,FALSE,0.001,0.001,0.001,0.001,116024.9,335730.5,792276.9,1352118,3282820,0.001,3163377,0.001,3569859,0.001,3205523,0.001,3924995,0.001,5624728,0.001
140,,,,,,,0.214,0.001,40.836,0.041,228.4,0.23,473.2805,0.0003,0.0120029,0.27,-1,3,20,100,,FALSE,1680587,1688313,1708177,816966.5,1016919,1610266,1335712,1602385,852685.8,1779497,1040805,1102326,1423675,1895952,1209847,1853402,1097304,1764218,1263220,1615313
141,,,,,,,2.388,0.002,38.155,0.037,212.7,0.21,525.2293,0.0003,0.011942,0.33,-1,4,20,100,,FALSE,1942124,2036355,1978646,131413.6,353004.2,755990.6,1219596,1915947,1253131,1767277,1524380,2224751,1322099,2079691,780122.8,2523592,957750.6,1869846,1188229,2431201
142,Lithocholate 3-O-glucuronide,C30 H48 O9,(M-H)-,552.3298,75239-91-7,,1.662,0.004,40.955,0.03,228.16,0.17,551.3182,0.0005,0.0119132,0.38,-1,3,20,100,,FALSE,2011600,1973902,2082243,111665.3,269858.3,558114.1,999468.1,1902324,1326471,1875524,1627854,2352228,1316584,2145718,704571.6,2547180,874261.3,2020738,1137030,2748792
143,,,,,,,2.973,0.016,24.856,0.026,142.29,0.15,232.9247,0.0002,0.011742,0.68,-1,3,16,100,,FALSE,1476484,1645287,1800901,1567252,2057747,2067163,2085925,1952407,0.001,0.001,0.001,1017922,1681367,1581578,1096687,1401819,1383623,1205235,1718995,0.001
144,N-Acetyl-beta-D-glucosaminylamine,C8 H16 N2 O5,(M-H)-,220.1059,,,1.935,0.003,25.469,0.086,146.34,0.5,219.0985,0.0002,0.0113468,0.76,-1,3,15,100,,FALSE,2890963,3052643,3066790,0.001,0.001,730754.7,1234265,2170006,0.001,2157475,1167600,2881706,829417.9,2684667,0.001,2521855,97628.59,2125723,0.001,2830944
145,Ssioriside,C27 H38 O12,(M-H)-,554.2363,126882-53-9,,2.423,0.001,39.728,0.035,221.26,0.2,553.2284,0.0005,0.0111724,0.31,-1,4,20,100,,FALSE,1685560,1775265,1880790,129802.6,385162.8,800329.1,1220581,2060586,1172518,1618443,1449058,2054918,1336752,1849113,641163.9,2123286,881536.8,1715317,1164006,2210909
146,,,,,,,2.201,0.002,34.975,0.03,196.18,0.17,412.2192,0.0003,0.0111635,0.28,-1,3,20,100,,FALSE,1740465,1723406,1731742,162196.2,391861.4,750833.1,1201999,1743694,1281660,1556280,1548161,2026704,1418856,1791296,780586.4,2033492,1035154,1798740,1253234,1932450
147,,,,,,,1.432,0.004,32.944,0.052,185.89,0.29,342.1663,0.0003,0.0110952,0.54,-1,3,18,100,,FALSE,1515835,1574818,1976650,0.001,491777.4,758943.8,1386134,2253636,888052.5,1987091,1124460,2320275,1247442,1365592,185221.9,3662675,0.001,2089077,1256367,2894236
148,6-Gingerol,C17 H26 O4,(M-H)-,294.1831,23513-14-6,,0.214,0.007,30.578,0.031,173.5,0.18,293.1774,0.0004,0.0110903,0.67,-1,4,20,100,,FALSE,402697.8,562163,480530,387987.9,560323.9,1094359,660843.2,2522691,1972186,2277810,1242607,1121841,1810843,1193500,1791694,1259219,925898.9,1074421,3367652,972994.3
149,2-Octenedioic acid,C8 H12 O4,(M-H)-,172.0736,5698-50-0,,1.992,0.01,23.164,0.021,135.03,0.13,171.0666,0.0001,0.0109631,0.64,-1,2,19,100,,FALSE,488221.6,934083.8,989796.3,794588,1308051,1470908,2172184,3382413,1697290,1087677,1503760,566996.3,1856225,0.001,1888682,489253.8,997522.4,473789.9,1129376,1294296
150,,,,,,,1.664,0.001,32.635,0.031,183.5,0.18,376.1868,0.0003,0.0108239,0.52,-1,3,18,100,,FALSE,2005535,1933060,2104095,0.001,188507.1,0.001,1039707,1923521,946166.5,1830254,1496854,2506532,1152743,2147552,474194.6,2486237,749971.6,1862870,949981.6,2720634
151,6-Gingerol,C17 H26 O4,(M-H)-,294.1831,23513-14-6,,0.411,0.025,31.704,0.036,179.95,0.2,293.175,0.0003,0.0108222,0.76,-1,3,20,100,,FALSE,976699.9,240637.6,1373975,737145.8,1522301,2096137,1937382,3849977,656944.2,383492.5,955924.8,375809.9,1547866,519315,1445644,2321369,1468803,631048.4,455972.9,609351.2
